# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s1	2ja	0	81821033-1	2	0	0	0	0
s2	2jadb	0	81821033-2	2	0	0	0	1
s3	2jadi	0	81821033-3	2	0	0	0	2
s4	2jada	0	81821033-4	2	0	0	0	3
s5	2jade	0	81821033-5	2	0	0	0	4
s6	2jadu	0	81821033-6	2	0	0	0	5
s7	2j	0	81821033-7	2	0	0	1	0
s8	2jdb	0	81821033-8	2	0	0	1	1
s9	2jdi	0	81821033-9	2	0	0	1	2
s10	2jda	0	81821033-10	2	0	0	1	3
s11	2jde	0	81821033-11	2	0	0	1	4
s12	2jdu	0	81821033-12	2	0	0	1	5
s13	2jr4	0	81821033-13	2	0	0	2	0
s14	2jr4db	0	81821033-14	2	0	0	2	1
s15	2jr4di	0	81821033-15	2	0	0	2	2
s16	2jr4da	0	81821033-16	2	0	0	2	3
s17	2jr4de	0	81821033-17	2	0	0	2	4
s18	2jr4du	0	81821033-18	2	0	0	2	5
s19	2jm2	0	81821033-19	2	0	0	3	0
s20	2jm2db	0	81821033-20	2	0	0	3	1
s21	2jm2di	0	81821033-21	2	0	0	3	2
s22	2jm2da	0	81821033-22	2	0	0	3	3
s23	2jm2de	0	81821033-23	2	0	0	3	4
s24	2jm2du	0	81821033-24	2	0	0	3	5
s25	2jmd2	0	81821033-25	2	0	0	4	0
s26	2jmd2db	0	81821033-26	2	0	0	4	1
s27	2jmd2di	0	81821033-27	2	0	0	4	2
s28	2jmd2da	0	81821033-28	2	0	0	4	3
s29	2jmd2de	0	81821033-29	2	0	0	4	4
s30	2jmd2du	0	81821033-30	2	0	0	4	5
s31	2jm4	0	81821033-31	2	0	0	5	0
s32	2jm4db	0	81821033-32	2	0	0	5	1
s33	2jm4di	0	81821033-33	2	0	0	5	2
s34	2jm4da	0	81821033-34	2	0	0	5	3
s35	2jm4de	0	81821033-35	2	0	0	5	4
s36	2jm4du	0	81821033-36	2	0	0	5	5
s37	2jmd4	0	81821033-37	2	0	0	6	0
s38	2jmd4db	0	81821033-38	2	0	0	6	1
s39	2jmd4di	0	81821033-39	2	0	0	6	2
s40	2jmd4da	0	81821033-40	2	0	0	6	3
s41	2jmd4de	0	81821033-41	2	0	0	6	4
s42	2jmd4du	0	81821033-42	2	0	0	6	5
s43	2jm8	0	81821033-43	2	0	0	7	0
s44	2jm8db	0	81821033-44	2	0	0	7	1
s45	2jm8di	0	81821033-45	2	0	0	7	2
s46	2jm8da	0	81821033-46	2	0	0	7	3
s47	2jm8de	0	81821033-47	2	0	0	7	4
s48	2jm8du	0	81821033-48	2	0	0	7	5
s49	2jka	0	81821033-49	2	0	1	0	0
s50	2jkadb	0	81821033-50	2	0	1	0	1
s51	2jkadi	0	81821033-51	2	0	1	0	2
s52	2jkada	0	81821033-52	2	0	1	0	3
s53	2jkade	0	81821033-53	2	0	1	0	4
s54	2jkadu	0	81821033-54	2	0	1	0	5
s55	2jk	0	81821033-55	2	0	1	1	0
s56	2jkdb	0	81821033-56	2	0	1	1	1
s57	2jkdi	0	81821033-57	2	0	1	1	2
s58	2jkda	0	81821033-58	2	0	1	1	3
s59	2jkde	0	81821033-59	2	0	1	1	4
s60	2jkdu	0	81821033-60	2	0	1	1	5
s61	2jkr4	0	81821033-61	2	0	1	2	0
s62	2jkr4db	0	81821033-62	2	0	1	2	1
s63	2jkr4di	0	81821033-63	2	0	1	2	2
s64	2jkr4da	0	81821033-64	2	0	1	2	3
s65	2jkr4de	0	81821033-65	2	0	1	2	4
s66	2jkr4du	0	81821033-66	2	0	1	2	5
s67	2jkm2	0	81821033-67	2	0	1	3	0
s68	2jkm2db	0	81821033-68	2	0	1	3	1
s69	2jkm2di	0	81821033-69	2	0	1	3	2
s70	2jkm2da	0	81821033-70	2	0	1	3	3
s71	2jkm2de	0	81821033-71	2	0	1	3	4
s72	2jkm2du	0	81821033-72	2	0	1	3	5
s73	2jkmd2	0	81821033-73	2	0	1	4	0
s74	2jkmd2db	0	81821033-74	2	0	1	4	1
s75	2jkmd2di	0	81821033-75	2	0	1	4	2
s76	2jkmd2da	0	81821033-76	2	0	1	4	3
s77	2jkmd2de	0	81821033-77	2	0	1	4	4
s78	2jkmd2du	0	81821033-78	2	0	1	4	5
s79	2jkm4	0	81821033-79	2	0	1	5	0
s80	2jkm4db	0	81821033-80	2	0	1	5	1
s81	2jkm4di	0	81821033-81	2	0	1	5	2
s82	2jkm4da	0	81821033-82	2	0	1	5	3
s83	2jkm4de	0	81821033-83	2	0	1	5	4
s84	2jkm4du	0	81821033-84	2	0	1	5	5
s85	2jkmd4	0	81821033-85	2	0	1	6	0
s86	2jkmd4db	0	81821033-86	2	0	1	6	1
s87	2jkmd4di	0	81821033-87	2	0	1	6	2
s88	2jkmd4da	0	81821033-88	2	0	1	6	3
s89	2jkmd4de	0	81821033-89	2	0	1	6	4
s90	2jkmd4du	0	81821033-90	2	0	1	6	5
s91	2jkm8	0	81821033-91	2	0	1	7	0
s92	2jkm8db	0	81821033-92	2	0	1	7	1
s93	2jkm8di	0	81821033-93	2	0	1	7	2
s94	2jkm8da	0	81821033-94	2	0	1	7	3
s95	2jkm8de	0	81821033-95	2	0	1	7	4
s96	2jkm8du	0	81821033-96	2	0	1	7	5
s97	2x2a	1	81821033-97	4	0	0	0	0
s98	2x2adb	1	81821033-98	4	0	0	0	1
s99	2x2adi	1	81821033-99	4	0	0	0	2
s100	2x2ada	1	81821033-100	4	0	0	0	3
s101	2x2ade	1	81821033-101	4	0	0	0	4
s102	2x2adu	1	81821033-102	4	0	0	0	5
s103	2x2	1	81821033-103	4	0	0	1	0
