# key	spec	seed	verdict	wall	cpu	clues	echo
s355	2x3km2	81821033-355	ok	0.003	0.000	0	2x3km2
s4201	5x4xmd2	81821033-4201	ok	0.243	0.243	170	5x4xmd2
s6183	9x3md4di	81821033-6183	ok	6.769	6.631	376	9x3md4di
s7955	20jxm4de	81821033-7955	timeout	10.001	9.989	-1	20jxm4de
s13	2jr4	81821033-13	crash	0.000	0.000	-1	2jr4
s2675	3x8xm4de	81821033-2675	timeout	10.031	9.999	-1	3x8xm4de
s4355	5x6m4de	81821033-4355	timeout	10.025	9.993	-1	5x6m4de
s203	2x2xde	81821033-203	ok	0.000	0.000	4	2x2xde
s2737	3x9xa	81821033-2737	ok	0.721	0.721	324	3x9xa
s6581	11jxade	81821033-6581	ok	5.712	5.710	29	11jxade
s6502	10x3xm2da	81821033-6502	timeout	10.113	10.011	-1	10x3xm2da
s2837	3x10xade	81821033-2837	timeout	10.019	10.002	-1	3x10xade
s5428	7x4xada	81821033-5428	timeout	10.014	9.997	-1	7x4xada
s4575	6jxkr4di	81821033-4575	ok	1.586	1.584	0	6jxkr4di
s2008	3x2xkmd4da	81821033-2008	ok	0.036	0.036	0	3x2xkmd4da
s1770	3jmd4du	81821033-1770	ok	0.000	0.000	2	3jmd4du
s6412	10x2xmd2da	81821033-6412	ok	2.667	2.665	172	10x2xmd2da
s7089	13x2xm4di	81821033-7089	ok	0.939	0.938	348	13x2xm4di
s6480	10x3m8du	81821033-6480	timeout	10.015	9.993	-1	10x3m8du
s6410	10x2xmd2db	81821033-6410	ok	0.155	0.155	181	10x2xmd2db
s8796	29jxdu	81821033-8796	timeout	10.092	9.976	-1	29jxdu
s6620	11jxm8db	81821033-6620	ok	6.960	6.953	36	11jxm8db
s508	2x4md2da	81821033-508	ok	0.224	0.223	23	2x4md2da
s1516	2x13xmd2da	81821033-1516	timeout	10.005	10.000	-1	2x13xmd2da
s5893	9jmd4	81821033-5893	ok	0.001	0.001	24	9jmd4
s5846	8x3xmd4db	81821033-5846	ok	0.433	0.432	262	8x3xmd4db
s2628	3x8m4du	81821033-2628	timeout	10.004	10.000	-1	3x8m4du
s5440	7x4xr4da	81821033-5440	timeout	10.128	10.007	-1	7x4xr4da
s1680	2x15m8du	81821033-1680	timeout	10.004	10.002	-1	2x15m8du
s169	2x2kmd2	81821033-169	ok	0.000	0.000	0	2x2kmd2
s5458	7x4xm4da	81821033-5458	timeout	10.001	9.994	-1	7x4xm4da
s6078	9x2md2du	81821033-6078	timeout	10.004	10.001	-1	9x2md2du
s6320	10jxm4db	81821033-6320	ok	0.339	0.339	32	10jxm4db
s5273	7x2xmd4de	81821033-5273	ok	0.228	0.228	74	7x2xmd4de
s7921	20jxa	81821033-7921	timeout	10.096	9.994	-1	20jxa
s3579	4x6md2di	81821033-3579	ok	1.917	1.916	266	4x6md2di
s1322	2x11xmd2db	81821033-1322	ok	0.255	0.255	229	2x11xmd2db
s7746	18jxr4du	81821033-7746	timeout	10.003	9.998	-1	18jxr4du
s8051	21jxm4de	81821033-8051	timeout	10.003	9.999	-1	21jxm4de
s6073	9x2md2	81821033-6073	ok	0.075	0.075	154	9x2md2
s2850	3x10xr4du	81821033-2850	timeout	10.084	9.990	-1	3x10xr4du
s6680	11x2xdb	81821033-6680	ok	0.284	0.280	220	11x2xdb
s5444	7x4xm2db	81821033-5444	timeout	10.003	9.996	-1	7x4xm2db
s4346	5x6md2db	81821033-4346	timeout	10.004	9.997	-1	5x6md2db
s3176	4x2xdb	81821033-3176	ok	0.001	0.001	20	4x2xdb
s3870	5jxmd2du	81821033-3870	ok	0.011	0.011	4	5jxmd2du
s4701	6x2xm8di	81821033-4701	ok	0.024	0.024	56	6x2xm8di
s4863	6x4xr4di	81821033-4863	ok	2.488	2.450	264	6x4xr4di
s2535	3x7md4di	81821033-2535	ok	0.307	0.306	206	3x7md4di
s6798	12jxmd2du	81821033-6798	timeout	10.000	9.999	-1	12jxmd2du
s539	2x4kde	81821033-539	ok	0.410	0.410	0	2x4kde
s2694	3x9adu	81821033-2694	timeout	10.012	10.005	-1	3x9adu
s1903	3x2km4	81821033-1903	ok	0.001	0.001	0	3x2km4
s289	2x3a	81821033-289	ok	0.000	0.000	10	2x3a
s8763	29jmd2di	81821033-8763	timeout	10.003	10.001	-1	29jmd2di
s3728	4x7xm4db	81821033-3728	ok	1.023	1.023	372	4x7xm4db
s3913	5jxkmd2	81821033-3913	ok	0.002	0.002	0	5jxkmd2
s5314	7x3m4da	81821033-5314	ok	2.129	2.128	206	7x3m4da
s8511	26jxr4di	81821033-8511	timeout	10.083	9.986	-1	26jxr4di
s5389	7x4r4	81821033-5389	ok	0.703	0.696	416	7x4r4
s4719	6x3r4di	81821033-4719	ok	0.070	0.070	148	6x3r4di
s983	2x8m2de	81821033-983	ok	1.641	1.562	110	2x8m2de
s7727	18jm8de	81821033-7727	timeout	10.001	9.999	-1	18jm8de
s7401	15x2di	81821033-7401	ok	4.530	4.529	476	15x2di
s3031	4jxk	81821033-3031	ok	0.001	0.000	0	4jxk
s629	2x4xkade	81821033-629	ok	0.281	0.281	0	2x4xkade
s4087	5x3x	81821033-4087	ok	0.008	0.008	88	5x3x
s5856	8x3xm8du	81821033-5856	timeout	10.126	9.966	-1	8x3xm8du
s3327	4x3xr4di	81821033-3327	ok	0.009	0.008	48	4x3xr4di
s3654	4x7adu	81821033-3654	timeout	10.005	10.000	-1	4x7adu
s6566	11jmd4db	81821033-6566	ok	0.186	0.186	36	11jmd4db
s7130	14jmd2db	81821033-7130	ok	2.809	2.785	62	14jmd2db
s7633	17jxa	81821033-7633	timeout	10.004	10.001	-1	17jxa
s4524	6jxdu	81821033-4524	ok	0.006	0.006	6	6jxdu
s7999	21jm4	81821033-7999	timeout	10.003	10.000	-1	21jm4
s6991	13jxm4	81821033-6991	timeout	10.005	9.998	-1	13jxm4
s5639	8jxkm2de	81821033-5639	timeout	10.093	9.995	-1	8jxkm2de
s4633	6x2md2	81821033-4633	ok	0.002	0.002	58	6x2md2
s3225	4x2xkdi	81821033-3225	ok	0.003	0.003	0	4x2xkdi
s2384	3x5xm4db	81821033-2384	ok	0.012	0.012	86	3x5xm4db
s1721	2x15xmd4de	81821033-1721	timeout	10.001	10.000	-1	2x15xmd4de
s7199	14jxm8de	81821033-7199	timeout	10.052	10.008	-1	14jxm8de
s2073	3x3kdi	81821033-2073	ok	0.027	0.027	0	3x3kdi
s4619	6x2de	81821033-4619	ok	0.049	0.049	56	6x2de
s7352	15jxdb	81821033-7352	timeout	10.004	9.996	-1	15jxdb
s1168	2x10r4da	81821033-1168	ok	0.557	0.556	196	2x10r4da
s6841	12x2md2	81821033-6841	ok	0.088	0.088	297	12x2md2
s8932	31jada	81821033-8932	timeout	10.022	9.979	-1	31jada
s2759	3x9xm2de	81821033-2759	timeout	10.004	10.001	-1	3x9xm2de
s8482	26jm4da	81821033-8482	timeout	10.059	9.987	-1	26jm4da
s4841	6x4md4de	81821033-4841	timeout	10.042	10.005	-1	6x4md4de
s8538	26jxmd4du	81821033-8538	timeout	10.012	9.983	-1	26jxmd4du
s7917	20jm8di	81821033-7917	timeout	10.004	10.001	-1	20jm8di
s2442	3x6md4du	81821033-2442	timeout	10.004	10.000	-1	3x6md4du
s2066	3x3kadb	81821033-2066	ok	0.006	0.006	0	3x3kadb
s2112	3x3km8du	81821033-2112	ok	0.284	0.284	0	3x3km8du
s4607	6jxkm8de	81821033-4607	ok	1.221	1.221	0	6jxkm8de
s4396	5x6xmd2da	81821033-4396	timeout	10.060	9.972	-1	5x6xmd2da
s2591	3x7xm8de	81821033-2591	timeout	10.032	10.004	-1	3x7xm8de
s6099	9x2xadi	81821033-6099	ok	0.291	0.291	127	9x2xadi
s8250	23jxmd4du	81821033-8250	timeout	10.004	10.002	-1	23jxmd4du
s7234	14x2m4da	81821033-7234	timeout	10.004	10.002	-1	14x2m4da
s7037	13x2md2de	81821033-7037	timeout	10.076	10.001	-1	13x2md2de
s138	2x2md4du	81821033-138	ok	0.000	0.000	6	2x2md4du
s7169	14jxr4de	81821033-7169	timeout	10.028	9.993	-1	14jxr4de
s7591	17j	81821033-7591	timeout	10.004	10.002	-1	17j
s7289	14x2xmd4de	81821033-7289	timeout	10.004	10.003	-1	14x2xmd4de
s9004	31jxmd2da	81821033-9004	timeout	10.135	9.968	-1	31jxmd2da
s3417	4x4xdi	81821033-3417	ok	0.167	0.163	92	4x4xdi
s3322	4x3xda	81821033-3322	ok	0.053	0.053	46	4x3xda
s5066	7jkmd2db	81821033-5066	ok	0.003	0.003	0	7jkmd2db
s5801	8x3md4de	81821033-5801	timeout	10.024	9.999	-1	8x3md4de
s5293	7x3r4	81821033-5293	ok	0.076	0.076	220	7x3r4
s588	2x4xdu	81821033-588	ok	0.060	0.060	14	2x4xdu
s4683	6x2xmd2di	81821033-4683	ok	0.017	0.017	45	6x2xmd2di
s365	2x3kmd2de	81821033-365	ok	0.662	0.661	0	2x3kmd2de
s1524	2x13xm4du	81821033-1524	timeout	10.004	10.002	-1	2x13xm4du
s3493	4x5md4	81821033-3493	ok	0.018	0.018	198	4x5md4
s4884	6x4xm4du	81821033-4884	timeout	10.004	9.997	-1	6x4xm4du
s4294	5x5xm2da	81821033-4294	timeout	10.080	9.990	-1	5x5xm2da
s3194	4x2xmd2db	81821033-3194	ok	0.002	0.002	19	4x2xmd2db
s5063	7jkm2de	81821033-5063	ok	2.417	2.417	0	7jkm2de
s965	2x8ade	81821033-965	ok	0.978	0.970	102	2x8ade
s5602	8jxm4da	81821033-5602	ok	1.294	1.294	16	8jxm4da
s2520	3x7m2du	81821033-2520	timeout	10.023	9.999	-1	3x7m2du
s1435	2x12xm8	81821033-1435	ok	0.802	0.797	332	2x12xm8
s7522	16jm4da	81821033-7522	timeout	10.001	9.997	-1	16jm4da
s8761	29jmd2	81821033-8761	timeout	10.004	10.003	-1	29jmd2
s7509	16jm2di	81821033-7509	timeout	10.032	10.006	-1	16jm2di
s6761	12jmd4de	81821033-6761	timeout	10.077	9.994	-1	12jmd4de
s2939	4jkde	81821033-2939	ok	0.008	0.008	0	4jkde
s3709	4x7xr4	81821033-3709	ok	2.195	2.195	412	4x7xr4
s5418	7x4md4du	81821033-5418	timeout	10.004	10.002	-1	7x4md4du
s951	2x7xmd4di	81821033-951	ok	0.064	0.064	78	2x7xmd4di
s6592	11jxr4da	81821033-6592	ok	5.252	5.243	40	11jxr4da
s4746	6x3md4du	81821033-4746	ok	7.879	7.878	144	6x3md4du
s467	2x3xkm4de	81821033-467	ok	0.071	0.071	0	2x3xkm4de
s7176	14jxm2du	81821033-7176	timeout	10.079	9.997	-1	14jxm2du
s8238	23jxmd2du	81821033-8238	timeout	10.003	10.002	-1	23jxmd2du
s3575	4x6m2de	81821033-3575	timeout	10.016	10.003	-1	4x6m2de
s1269	2x11m2di	81821033-1269	ok	0.657	0.653	242	2x11m2di
